ID1,ID2,EdgeType,Score,Annotation
77,297,MS1 annotation,3,[M+H]+ [M+5H+N]2+ dm/z=481.240857707106329
77,696,MS1 annotation,3,[M+H]+ [M+5H+N]2+ dm/z=481.248314355045864
77,734,MS1 annotation,3,[M+H]+ [M+5H+N]2+ dm/z=481.266966528838793
77,873,MS1 annotation,3,[M+H]+ [M+5H+N]2+ dm/z=481.256206045571844
81,88,MS1 annotation,0,[M+Na]+ [M+H]+ dm/z=21.98308523783237
82,201,MS1 annotation,1,[M+H]+ [M+5H+N]2+ dm/z=459.248867494142075
82,658,MS1 annotation,1,[M+H]+ [M+2H]2+ dm/z=459.26215167327814
84,376,MS1 annotation,0,[M+H]+ [M+H]+ dm/z=21.985600420393894
87,134,MS1 annotation,2,[M+H]+ [M+H]+ dm/z=22.013802065641357
89,161,MS1 annotation,12,[M+4H+N+Na]2+ [M+2H]2+ dm/z=8.503660426282806
89,234,MS1 annotation,11,[M+4H+N+Na]2+ [M+H+Na]2+ dm/z=2.483301487941333
89,312,MS1 annotation,11,[M+4H+N+Na]2+ [M+2Na]2+ dm/z=2.491078589531867
89,519,MS1 annotation,12,[M+4H+N+Na]2+ [M+2H]2+ dm/z=19.516452698939759
90,92,MS1 annotation,2,[M+H]+ [M+H]+ dm/z=22.012210508569297
92,174,MS1 annotation,2,[M+H]+ [M+H]+ dm/z=22.016526372971953
93,363,MS1 annotation,2,[M+Na]+ [M+4H+N]+ dm/z=4.957954211247682
93,869,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.985715155509354
94,230,MS1 annotation,13,[M+2Na]2+ [M+2H]2+ dm/z=4.96103799652559
94,501,MS1 annotation,11,[M+2Na]2+ [M+2H]2+ dm/z=10.970865408080499
94,513,MS1 annotation,11,[M+2Na]2+ [M+2H]2+ dm/z=22.003015216452013
94,688,MS1 annotation,11,[M+2Na]2+ [M+2H]2+ dm/z=22.007972249773161
95,510,MS1 annotation,1,[M+H]+ [M+Na]+ dm/z=21.988679657045509
98,109,MS1 annotation,4,[M+Na]+ [M+H]+ dm/z=17.12194776151739
98,179,MS1 annotation,7,[M+Na]+ [M+H]+ dm/z=21.984296055024515
